Fecha;Temporada;Dias_Plantacion;Dr_TAW_Ratio;Lluvia_Hoy_mm;ETo_Hoy_mm;Riego_Decidido_IA_mm
24/08/2010;2010;129;0,0;0,0;4,83;24,94
25/08/2010;2010;130;0,0;0,173;4,59;6,56
26/08/2010;2010;131;0,0;0,0;5,14;18,66
27/08/2010;2010;132;0,0;0,0;5,41;19,95
28/08/2010;2010;133;0,0;0,0;3,97;27,8
29/08/2010;2010;134;0,0;0,0;3,84;19,38
30/08/2010;2010;135;0,0;0,506;3,79;24,08
31/08/2010;2010;136;0,0;0,0;3,08;3,02
01/09/2010;2010;137;0,002;0,0;2,99;28,8
02/09/2010;2010;138;0,0;0,571;4,46;7,1
03/09/2010;2010;139;0,0;0,18;4,33;28,52
04/09/2010;2010;140;0,0;0,573;4,31;22,07
05/09/2010;2010;141;0,0;0,561;4,52;28,27
06/09/2010;2010;142;0,0;2,163;3,11;24,24
07/09/2010;2010;143;0,0;0,119;2,5;28,48
08/09/2010;2010;144;0,0;0,097;2,96;24,39
09/09/2010;2010;145;0,0;0,163;3,64;8,32
10/09/2010;2010;146;0,0;0,91;3,6;20,95
11/09/2010;2010;147;0,0;0,103;3,77;25,5
12/09/2010;2010;148;0,0;0,0;3,94;29,69
13/09/2010;2010;149;0,0;0,0;3,69;17,15
14/09/2010;2010;150;0,0;0,0;3,86;7,97
15/09/2010;2010;151;0,0;0,296;3,21;26,92
16/09/2010;2010;152;0,0;0,0;2,11;29,3
17/09/2010;2010;153;0,0;0,564;1,25;29,79
18/09/2010;2010;154;0,0;0,0;2,39;18,47
19/09/2010;2010;155;0,0;0,0;2,91;21,68
20/09/2010;2010;156;0,0;0,0;3,1;2,38
21/09/2010;2010;157;0,006;0,0;2,99;25,79
22/09/2010;2010;158;0,0;0,026;2,49;13,83
23/09/2010;2010;159;0,0;0,0;2,34;17,57
24/09/2010;2010;160;0,0;0,029;3,07;3,61
25/09/2010;2010;161;0,0;1,062;2,64;29,62
26/09/2010;2010;162;0,0;0,0;2,47;29,0
27/09/2010;2010;163;0,0;1,046;2,2;12,1
28/09/2010;2010;164;0,0;0,0;2,71;15,24
29/09/2010;2010;165;0,0;0,0;3,01;27,26
30/09/2010;2010;166;0,0;0,0;2,34;23,21
01/10/2010;2010;167;0,0;0,0;2,04;13,15
02/10/2010;2010;168;0,0;0,23;3,37;28,8
03/10/2010;2010;169;0,0;4,32;1,45;26,66
04/10/2010;2010;170;0,0;0,0;2,86;1,96
05/10/2010;2010;171;0,009;0,0;2,25;10,78
06/10/2010;2010;172;0,0;2,244;0,94;25,93
07/10/2010;2010;173;0,0;0,65;2,09;18,89
08/10/2010;2010;174;0,0;2,383;2,45;28,66
09/10/2010;2010;175;0,0;3,315;1,7;29,54
10/10/2010;2010;176;0,0;0,433;1,54;29,75
11/10/2010;2010;177;0,0;0,0;2,06;24,13
12/10/2010;2010;178;0,0;0,007;1,67;25,27
13/10/2010;2010;179;0,0;0,0;2,12;23,12
14/10/2010;2010;180;0,0;0,869;1,71;26,65
15/10/2010;2010;181;0,0;0,395;1,55;27,7
16/10/2010;2010;182;0,0;0,141;1,43;17,59
17/10/2010;2010;183;0,0;0,142;1,8;15,92
18/10/2010;2010;184;0,0;0,0;1,32;2,89
19/10/2010;2010;185;0,0;0,431;1,49;27,55
20/10/2010;2010;186;0,0;0,587;1,42;27,94
21/10/2010;2010;187;0,0;0,482;1,62;10,54
22/10/2010;2010;188;0,0;0,785;1,24;2,93
23/10/2010;2010;189;0,0;0,905;1,89;24,75
24/10/2010;2010;190;0,0;0,0;1,64;19,78
25/10/2010;2010;191;0,0;0,0;1,87;27,61
26/10/2010;2010;192;0,0;0,298;1,32;27,87
15/04/2011;2011;1;0,0;0,969;3,5;28,97
16/04/2011;2011;2;0,0;0,0;3,8;6,62
17/04/2011;2011;3;0,0;0,536;4,01;2,87
18/04/2011;2011;4;0,099;0,395;4,06;17,6
19/04/2011;2011;5;0,0;4,307;1,99;29,91
20/04/2011;2011;6;0,0;14,322;1,24;5,27
21/04/2011;2011;7;0,0;20,009;1,94;0,23
22/04/2011;2011;8;0,0;10,222;2,14;29,79
23/04/2011;2011;9;0,0;0,459;2,78;29,29
24/04/2011;2011;10;0,0;0,225;2,74;18,34
25/04/2011;2011;11;0,0;0,0;3,25;19,5
26/04/2011;2011;12;0,0;0,0;3,28;25,99
27/04/2011;2011;13;0,0;0,432;4,02;14,57
28/04/2011;2011;14;0,0;0,019;3,59;27,24
29/04/2011;2011;15;0,0;0,0;3,84;10,52
30/04/2011;2011;16;0,0;5,327;2,21;29,23
01/05/2011;2011;17;0,0;9,027;1,68;0,46
02/05/2011;2011;18;0,0;0,336;3,8;28,16
03/05/2011;2011;19;0,0;0,515;3,8;20,1
04/05/2011;2011;20;0,0;0,0;3,78;1,03
05/05/2011;2011;21;0,259;0,0;4,02;28,01
06/05/2011;2011;22;0,0;2,343;2,92;10,44
07/05/2011;2011;23;0,0;0,0;3,22;16,27
08/05/2011;2011;24;0,0;0,229;3,91;25,91
09/05/2011;2011;25;0,0;0,0;4,31;4,98
10/05/2011;2011;26;0,003;0,0;4,61;24,78
11/05/2011;2011;27;0,0;0,0;3,63;8,19
12/05/2011;2011;28;0,0;6,396;4,11;19,45
13/05/2011;2011;29;0,0;0,0;3,48;8,39
14/05/2011;2011;30;0,0;0,0;3,8;26,02
15/05/2011;2011;31;0,0;0,0;4,48;22,24
16/05/2011;2011;32;0,0;0,0;4,35;4,49
17/05/2011;2011;33;0,027;0,0;3,81;18,87
18/05/2011;2011;34;0,0;0,582;4,1;3,71
19/05/2011;2011;35;0,022;0,0;4,01;19,12
20/05/2011;2011;36;0,0;1,016;4,68;20,64
21/05/2011;2011;37;0,0;0,0;4,6;11,48
22/05/2011;2011;38;0,0;0,462;5,12;20,32
23/05/2011;2011;39;0,0;0,415;4,73;23,21
24/05/2011;2011;40;0,0;0,124;5,58;0,27
25/05/2011;2011;41;0,207;0,562;4,8;29,91
26/05/2011;2011;42;0,0;0,0;4,39;16,52
27/05/2011;2011;43;0,0;0,0;4,65;0,13
28/05/2011;2011;44;0,158;0,032;5,08;27,85
29/05/2011;2011;45;0,0;0,308;3,97;13,5
30/05/2011;2011;46;0,0;0,713;4,17;10,58
31/05/2011;2011;47;0,0;0,885;3,99;27,47
01/06/2011;2011;48;0,0;0,0;4,71;28,75
02/06/2011;2011;49;0,0;0,0;4,62;21,79
03/06/2011;2011;50;0,0;0,0;5,12;28,1
04/06/2011;2011;51;0,0;0,737;3,76;7,65
05/06/2011;2011;52;0,0;0,0;3,93;25,17
06/06/2011;2011;53;0,0;0,0;3,45;27,96
07/06/2011;2011;54;0,0;4,151;3,28;18,43
08/06/2011;2011;55;0,0;0,0;4,24;17,04
09/06/2011;2011;56;0,0;0,0;3,6;4,19
10/06/2011;2011;57;0,0;0,0;4,79;21,88
11/06/2011;2011;58;0,0;0,0;4,35;19,62
12/06/2011;2011;59;0,0;0,0;4,88;5,17
13/06/2011;2011;60;0,012;0,0;5,74;8,41
14/06/2011;2011;61;0,0;0,0;5,89;27,42
15/06/2011;2011;62;0,0;0,753;5,96;1,8
16/06/2011;2011;63;0,083;0,0;5,67;15,74
17/06/2011;2011;64;0,0;0,0;4,79;10,64
18/06/2011;2011;65;0,0;0,962;5,98;7,69
19/06/2011;2011;66;0,0;0,0;6,05;11,99
20/06/2011;2011;67;0,0;0,0;6,3;4,9
21/06/2011;2011;68;0,04;0,988;6,48;13,32
22/06/2011;2011;69;0,0;0,0;6,4;14,12
23/06/2011;2011;70;0,0;0,638;5,31;3,79
24/06/2011;2011;71;0,025;0,379;5,56;24,86
25/06/2011;2011;72;0,0;0,0;6,46;5,32
26/06/2011;2011;73;0,03;0,049;6,58;22,93
27/06/2011;2011;74;0,0;1,154;6,97;14,52
28/06/2011;2011;75;0,0;0,16;5,81;23,83
29/06/2011;2011;76;0,0;0,094;5,45;11,69
30/06/2011;2011;77;0,0;0,0;5,44;13,15
01/07/2011;2011;78;0,0;0,21;5,47;10,76
02/07/2011;2011;79;0,0;0,0;6,35;16,21
03/07/2011;2011;80;0,0;0,225;5,28;25,33
04/07/2011;2011;81;0,0;0,444;5,77;7,36
05/07/2011;2011;82;0,0;0,287;6,07;0,19
06/07/2011;2011;83;0,067;0,748;5,96;29,61
07/07/2011;2011;84;0,0;0,0;5,08;2,43
08/07/2011;2011;85;0,038;0,605;4,34;17,77
09/07/2011;2011;86;0,0;0,0;4,39;29,79
10/07/2011;2011;87;0,0;0,0;5,16;29,38
11/07/2011;2011;88;0,0;0,0;5,65;11,4
12/07/2011;2011;89;0,0;7,259;2,84;11,76
13/07/2011;2011;90;0,0;0,062;4,07;7,44
14/07/2011;2011;91;0,0;0,0;4,84;10,79
15/07/2011;2011;92;0,0;0,995;5,38;15,21
16/07/2011;2011;93;0,0;0,526;5,96;1,67
17/07/2011;2011;94;0,04;0,0;5,14;19,68
18/07/2011;2011;95;0,0;0,0;4,43;2,28
19/07/2011;2011;96;0,023;0,009;5,28;24,24
20/07/2011;2011;97;0,0;0,0;6,23;10,84
21/07/2011;2011;98;0,0;0,0;5,38;27,54
22/07/2011;2011;99;0,0;0,312;5,01;7,07
23/07/2011;2011;100;0,0;0,0;4,89;5,29
24/07/2011;2011;101;0,0;0,0;4,36;27,96
25/07/2011;2011;102;0,0;0,0;5,4;23,34
26/07/2011;2011;103;0,0;0,0;5,84;19,7
27/07/2011;2011;104;0,0;0,0;5,31;6,29
28/07/2011;2011;105;0,0;0,0;5,26;14,38
29/07/2011;2011;106;0,0;0,0;4,78;6,67
30/07/2011;2011;107;0,0;0,209;5,5;21,39
31/07/2011;2011;108;0,0;0,0;5,41;6,04
01/08/2011;2011;109;0,0;0,0;4,3;14,9
02/08/2011;2011;110;0,0;2,308;2,84;26,17
03/08/2011;2011;111;0,0;0,0;4,93;23,24
04/08/2011;2011;112;0,0;0,0;5,35;12,08
05/08/2011;2011;113;0,0;0,48;4,87;3,42
06/08/2011;2011;114;0,011;0,444;4,29;14,38
07/08/2011;2011;115;0,0;0,645;5,12;6,88
08/08/2011;2011;116;0,0;0,0;5,0;7,65
09/08/2011;2011;117;0,0;1,423;4,76;29,31
10/08/2011;2011;118;0,0;1,497;5,03;29,81
11/08/2011;2011;119;0,0;0,41;5,9;22,09
12/08/2011;2011;120;0,0;0,0;5,66;29,03
13/08/2011;2011;121;0,0;0,0;5,53;23,32
14/08/2011;2011;122;0,0;0,0;4,48;21,8
15/08/2011;2011;123;0,0;0,332;4,8;25,76
16/08/2011;2011;124;0,0;0,0;5,53;20,47
17/08/2011;2011;125;0,0;0,549;5,44;22,47
18/08/2011;2011;126;0,0;0,0;5,23;11,52
19/08/2011;2011;127;0,0;0,0;5,41;27,98
20/08/2011;2011;128;0,0;0,0;4,49;24,61
21/08/2011;2011;129;0,0;7,067;2,87;12,97
22/08/2011;2011;130;0,0;5,895;2,9;1,59
23/08/2011;2011;131;0,0;0,0;2,71;29,82
24/08/2011;2011;132;0,0;0,19;4,19;29,88
25/08/2011;2011;133;0,0;0,0;3,85;20,17
26/08/2011;2011;134;0,0;0,0;4,22;1,48
27/08/2011;2011;135;0,023;0,0;3,89;4,39
28/08/2011;2011;136;0,021;0,0;4,35;5,87
29/08/2011;2011;137;0,015;0,009;4,26;24,0
30/08/2011;2011;138;0,0;0,0;4,27;3,78
31/08/2011;2011;139;0,006;0,0;3,38;10,25
01/09/2011;2011;140;0,0;3,166;2,05;2,46
02/09/2011;2011;141;0,0;0,0;3,39;28,3
03/09/2011;2011;142;0,0;0,161;3,74;27,84
04/09/2011;2011;143;0,0;0,402;3,28;7,04
05/09/2011;2011;144;0,0;0,154;3,73;28,71
06/09/2011;2011;145;0,0;0,0;3,96;3,2
07/09/2011;2011;146;0,007;0,4;4,32;19,37
08/09/2011;2011;147;0,0;0,159;4,12;25,52
09/09/2011;2011;148;0,0;0,217;4,68;27,15
10/09/2011;2011;149;0,0;0,0;3,8;28,77
11/09/2011;2011;150;0,0;0,747;2,62;28,0
12/09/2011;2011;151;0,0;0,245;3,76;27,09
13/09/2011;2011;152;0,0;0,0;4,2;28,68
14/09/2011;2011;153;0,0;0,581;3,93;29,8
15/09/2011;2011;154;0,0;0,589;3,67;9,09
16/09/2011;2011;155;0,0;0,551;2,74;29,7
17/09/2011;2011;156;0,0;0,0;4,13;29,1
18/09/2011;2011;157;0,0;0,0;3,68;26,28
19/09/2011;2011;158;0,0;0,183;2,99;25,87
20/09/2011;2011;159;0,0;0,0;3,37;20,15
21/09/2011;2011;160;0,0;0,0;3,72;26,29
22/09/2011;2011;161;0,0;0,744;3,18;8,87
23/09/2011;2011;162;0,0;0,0;3,51;29,33
24/09/2011;2011;163;0,0;0,293;3,08;7,54
25/09/2011;2011;164;0,0;0,0;2,9;13,68
26/09/2011;2011;165;0,0;0,0;3,22;28,8
27/09/2011;2011;166;0,0;0,296;2,95;22,47
28/09/2011;2011;167;0,0;0,0;2,42;10,25
29/09/2011;2011;168;0,0;0,0;2,98;29,27
30/09/2011;2011;169;0,0;0,242;3,39;17,83
01/10/2011;2011;170;0,0;0,0;3,49;12,52
02/10/2011;2011;171;0,0;0,0;3,04;6,49
03/10/2011;2011;172;0,0;0,0;3,62;22,67
04/10/2011;2011;173;0,0;0,965;3,12;6,8
05/10/2011;2011;174;0,0;0,0;3,28;16,82
06/10/2011;2011;175;0,0;0,0;4,21;21,21
07/10/2011;2011;176;0,0;0,0;3,04;13,64
08/10/2011;2011;177;0,0;0,574;2,3;8,38
09/10/2011;2011;178;0,0;0,049;2,28;10,91
10/10/2011;2011;179;0,0;0,0;2,83;19,54
11/10/2011;2011;180;0,0;0,143;2,89;18,77
12/10/2011;2011;181;0,0;0,416;3,12;6,74
13/10/2011;2011;182;0,0;0,0;3,42;13,2
08/05/2012;2012;1;0,0;0,466;3,17;29,5
09/05/2012;2012;2;0,0;0,572;4,53;10,54
10/05/2012;2012;3;0,0;0,203;5,14;15,13
11/05/2012;2012;4;0,0;0,459;3,77;2,06
12/05/2012;2012;5;0,146;0,0;5,01;29,58
13/05/2012;2012;6;0,0;0,0;5,12;29,02
14/05/2012;2012;7;0,0;0,0;5,93;4,05
15/05/2012;2012;8;0,232;0,125;4,98;13,58
16/05/2012;2012;9;0,0;0,0;4,41;0,71
17/05/2012;2012;10;0,341;0,0;6,48;29,29
18/05/2012;2012;11;0,0;0,748;4,58;26,97
19/05/2012;2012;12;0,0;0,0;3,91;21,3
20/05/2012;2012;13;0,0;0,249;3,29;26,55
21/05/2012;2012;14;0,0;0,382;4,24;29,35
22/05/2012;2012;15;0,0;0,0;4,98;28,86
23/05/2012;2012;16;0,0;0,479;5,27;28,67
24/05/2012;2012;17;0,0;0,0;5,83;10,85
25/05/2012;2012;18;0,0;0,196;6,28;3,86
26/05/2012;2012;19;0,214;0,641;4,01;9,31
27/05/2012;2012;20;0,0;0,0;4,71;18,64
28/05/2012;2012;21;0,0;0,101;5,29;4,8
29/05/2012;2012;22;0,071;0,31;5,76;28,41
30/05/2012;2012;23;0,0;0,0;5,75;5,67
31/05/2012;2012;24;0,049;0,568;6,03;29,71
01/06/2012;2012;25;0,0;2,344;6,49;4,04
02/06/2012;2012;26;0,05;0,964;3,29;27,24
03/06/2012;2012;27;0,0;0,0;5,4;25,8
04/06/2012;2012;28;0,0;0,0;5,27;13,12
05/06/2012;2012;29;0,0;0,495;5,05;20,29
06/06/2012;2012;30;0,0;0,0;4,59;0,68
07/06/2012;2012;31;0,151;0,0;5,37;16,16
08/06/2012;2012;32;0,0;0,0;5,36;25,65
09/06/2012;2012;33;0,0;0,0;2,22;11,21
10/06/2012;2012;34;0,0;0,0;5,04;28,79
11/06/2012;2012;35;0,0;0,0;4,13;18,93
12/06/2012;2012;36;0,0;0,435;5,16;27,74
13/06/2012;2012;37;0,0;0,0;4,36;10,41
14/06/2012;2012;38;0,0;0,0;5,44;8,73
15/06/2012;2012;39;0,0;0,22;5,35;12,93
16/06/2012;2012;40;0,0;0,0;3,69;11,11
17/06/2012;2012;41;0,0;0,278;5,48;1,69
18/06/2012;2012;42;0,107;0,408;5,48;18,28
19/06/2012;2012;43;0,0;0,384;5,61;8,63
20/06/2012;2012;44;0,0;0,0;4,62;3,68
21/06/2012;2012;45;0,037;0,0;5,86;1,04
22/06/2012;2012;46;0,166;0,246;5,23;26,5
23/06/2012;2012;47;0,0;0,063;6,12;24,84
24/06/2012;2012;48;0,0;0,0;7,05;14,7
25/06/2012;2012;49;0,0;0,046;6,29;6,14
26/06/2012;2012;50;0,021;0,0;7,03;13,53
27/06/2012;2012;51;0,0;0,0;7,16;20,74
28/06/2012;2012;52;0,0;0,0;6,77;24,91
29/06/2012;2012;53;0,0;0,0;5,43;27,26
30/06/2012;2012;54;0,0;0,449;4,05;28,72
01/07/2012;2012;55;0,0;0,0;5,24;9,71
02/07/2012;2012;56;0,0;0,263;5,32;0,95
03/07/2012;2012;57;0,072;0,833;5,57;26,95
04/07/2012;2012;58;0,0;0,0;5,85;24,33
05/07/2012;2012;59;0,0;0,625;5,39;0,26
06/07/2012;2012;60;0,076;0,0;5,28;28,99
07/07/2012;2012;61;0,0;0,0;4,8;8,33
08/07/2012;2012;62;0,0;0,483;5,5;13,91
09/07/2012;2012;63;0,0;0,0;5,86;29,11
10/07/2012;2012;64;0,0;0,0;5,09;18,86
11/07/2012;2012;65;0,0;0,596;5,86;19,57
12/07/2012;2012;66;0,0;0,0;5,8;9,97
13/07/2012;2012;67;0,0;0,82;4,64;8,18
14/07/2012;2012;68;0,0;0,0;5,24;13,62
15/07/2012;2012;69;0,0;0,061;5,3;13,05
16/07/2012;2012;70;0,0;0,0;5,68;7,39
17/07/2012;2012;71;0,0;0,0;6,7;13,21
18/07/2012;2012;72;0,0;0,0;7,38;24,33
19/07/2012;2012;73;0,0;0,604;6,66;27,76
20/07/2012;2012;74;0,0;0,283;5,69;26,52
21/07/2012;2012;75;0,0;0,185;5,37;8,32
22/07/2012;2012;76;0,0;0,136;5,46;6,22
23/07/2012;2012;77;0,0;0,0;5,85;4,07
24/07/2012;2012;78;0,023;0,0;6,19;13,67
25/07/2012;2012;79;0,0;0,0;6,14;23,83
26/07/2012;2012;80;0,0;3,689;5,88;1,14
27/07/2012;2012;81;0,016;0,0;4,87;15,88
28/07/2012;2012;82;0,0;0,37;4,18;3,87
29/07/2012;2012;83;0,002;0,002;4,99;15,45
30/07/2012;2012;84;0,0;0,0;5,37;19,31
31/07/2012;2012;85;0,0;0,147;6,2;5,73
01/08/2012;2012;86;0,009;0,658;5,65;27,4
02/08/2012;2012;87;0,0;0,138;5,48;6,59
03/08/2012;2012;88;0,0;0,0;5,07;29,35
04/08/2012;2012;89;0,0;0,098;4,32;8,97
05/08/2012;2012;90;0,0;0,0;4,55;29,16
06/08/2012;2012;91;0,0;0,0;4,64;20,3
07/08/2012;2012;92;0,0;0,026;5,18;13,48
08/08/2012;2012;93;0,0;0,0;5,47;9,76
09/08/2012;2012;94;0,0;0,583;5,52;1,47
10/08/2012;2012;95;0,027;0,321;5,1;28,48
11/08/2012;2012;96;0,0;0,201;6,01;24,41
12/08/2012;2012;97;0,0;0,883;4,67;6,32
13/08/2012;2012;98;0,0;0,307;4,84;26,75
14/08/2012;2012;99;0,0;0,558;4,94;25,5
15/08/2012;2012;100;0,0;0,763;4,46;8,42
16/08/2012;2012;101;0,0;0,0;4,79;17,37
17/08/2012;2012;102;0,0;0,0;5,32;26,97
18/08/2012;2012;103;0,0;0,702;5,15;23,02
19/08/2012;2012;104;0,0;0,0;4,97;19,8
20/08/2012;2012;105;0,0;0,733;3,61;29,97
21/08/2012;2012;106;0,0;0,423;4,94;29,71
22/08/2012;2012;107;0,0;0,0;5,26;28,22
23/08/2012;2012;108;0,0;0,029;4,03;13,57
24/08/2012;2012;109;0,0;0,433;4,44;28,83
25/08/2012;2012;110;0,0;0,0;4,78;21,23
26/08/2012;2012;111;0,0;0,592;3,95;28,0
27/08/2012;2012;112;0,0;0,853;4,63;25,76
28/08/2012;2012;113;0,0;1,114;3,84;5,71
29/08/2012;2012;114;0,0;0,299;4,72;25,58
30/08/2012;2012;115;0,0;0,019;4,61;28,01
31/08/2012;2012;116;0,0;0,444;3,83;9,39
01/09/2012;2012;117;0,0;1,058;3,44;28,33
02/09/2012;2012;118;0,0;0,0;3,82;18,37
03/09/2012;2012;119;0,0;0,0;3,86;4,88
04/09/2012;2012;120;0,0;0,264;3,57;21,82
05/09/2012;2012;121;0,0;0,0;4,1;5,47
06/09/2012;2012;122;0,0;0,0;4,41;26,06
07/09/2012;2012;123;0,0;0,0;4,49;29,29
08/09/2012;2012;124;0,0;0,829;4,41;29,12
09/09/2012;2012;125;0,0;1,42;3,41;29,68
10/09/2012;2012;126;0,0;0,0;3,57;11,92
11/09/2012;2012;127;0,0;0,0;3,32;2,42
12/09/2012;2012;128;0,007;0,0;3,95;4,68
13/09/2012;2012;129;0,005;0,101;4,04;20,14
14/09/2012;2012;130;0,0;0,0;3,5;29,43
15/09/2012;2012;131;0,0;0,0;3,78;27,06
16/09/2012;2012;132;0,0;0,0;3,67;28,83
17/09/2012;2012;133;0,0;0,0;2,84;1,11
18/09/2012;2012;134;0,013;0,0;2,99;27,46
19/09/2012;2012;135;0,0;0,0;3,32;1,4
20/09/2012;2012;136;0,014;0,009;3,51;2,65
21/09/2012;2012;137;0,022;0,0;4,09;3,7
22/09/2012;2012;138;0,028;0,0;3,77;21,68
23/09/2012;2012;139;0,0;0,219;3,22;28,72
24/09/2012;2012;140;0,0;0,0;3,11;22,23
25/09/2012;2012;141;0,0;0,0;1,73;29,8
26/09/2012;2012;142;0,0;0,821;1,97;2,85
27/09/2012;2012;143;0,0;0,886;2,45;11,83
28/09/2012;2012;144;0,0;0,0;2,61;6,48
29/09/2012;2012;145;0,0;0,0;3,21;12,26
30/09/2012;2012;146;0,0;0,0;2,16;29,13
01/10/2012;2012;147;0,0;0,421;2,85;4,15
02/10/2012;2012;148;0,0;0,0;2,78;12,92
03/10/2012;2012;149;0,0;0,0;2,5;21,65
04/10/2012;2012;150;0,0;0,364;2,78;2,78
05/10/2012;2012;151;0,0;0,215;3,39;25,63
06/10/2012;2012;152;0,0;0,54;2,0;9,41
07/10/2012;2012;153;0,0;0,0;2,61;4,86
08/10/2012;2012;154;0,0;0,0;2,71;2,85
09/10/2012;2012;155;0,0;0,0;1,74;27,64
10/10/2012;2012;156;0,0;0,011;1,4;28,03
11/10/2012;2012;157;0,0;0,359;2,56;4,71
12/10/2012;2012;158;0,0;0,0;2,16;27,01
13/10/2012;2012;159;0,0;0,0;1,94;28,85
14/10/2012;2012;160;0,0;0,276;2,32;27,75
15/10/2012;2012;161;0,0;0,0;2,28;23,51
16/10/2012;2012;162;0,0;0,38;1,3;11,02
17/10/2012;2012;163;0,0;3,327;1,15;3,29
18/10/2012;2012;164;0,0;10,174;0,77;29,83
19/10/2012;2012;165;0,0;0,0;1,43;4,17
20/10/2012;2012;166;0,0;0,0;1,55;4,09
21/10/2012;2012;167;0,0;0,405;1,85;18,15
22/10/2012;2012;168;0,0;0,193;1,64;0,83
23/10/2012;2012;169;0,004;0,0;1,63;21,0
24/10/2012;2012;170;0,0;2,76;1,12;18,48
25/10/2012;2012;171;0,0;5,812;1,46;5,85
26/10/2012;2012;172;0,0;0,471;1,29;7,75
27/10/2012;2012;173;0,0;0,0;1,87;21,84
28/10/2012;2012;174;0,0;0,0;1,32;29,69
29/10/2012;2012;175;0,0;0,0;1,12;12,11
30/10/2012;2012;176;0,0;0,0;0,97;24,6
31/10/2012;2012;177;0,0;0,281;1,17;1,6
01/11/2012;2012;178;0,0;0,0;1,77;29,54
02/11/2012;2012;179;0,0;0,706;1,71;29,53
03/11/2012;2012;180;0,0;0,83;1,02;22,09
04/11/2012;2012;181;0,0;0,201;1,14;27,1
05/11/2012;2012;182;0,0;0,0;1,38;29,26
06/11/2012;2012;183;0,0;0,532;1,66;4,82
07/11/2012;2012;184;0,0;0,91;1,5;29,48
08/11/2012;2012;185;0,0;12,81;0,62;29,97
09/11/2012;2012;186;0,0;0,0;0,9;28,44
10/11/2012;2012;187;0,0;1,31;1,07;29,44
11/11/2012;2012;188;0,0;0,0;1,38;20,78
12/11/2012;2012;189;0,0;0,65;0,95;9,42
13/11/2012;2012;190;0,0;0,0;1,32;0,82
14/11/2012;2012;191;0,004;0,0;1,2;8,14
15/11/2012;2012;192;0,0;0,307;1,15;24,43
15/04/2013;2013;1;0,0;0,0;3,87;0,32
16/04/2013;2013;2;0,326;0,047;3,98;29,77
17/04/2013;2013;3;0,0;0,321;4,83;14,54
18/04/2013;2013;4;0,0;0,0;3,66;11,5
19/04/2013;2013;5;0,0;0,0;3,88;9,22
20/04/2013;2013;6;0,0;0,394;3,43;26,99
21/04/2013;2013;7;0,0;0,466;3,67;8,69
22/04/2013;2013;8;0,0;0,0;3,22;24,28
23/04/2013;2013;9;0,0;0,0;3,0;27,96
24/04/2013;2013;10;0,0;0,292;4,14;3,33
25/04/2013;2013;11;0,094;0,0;4,53;6,8
26/04/2013;2013;12;0,0;0,0;3,35;10,78
27/04/2013;2013;13;0,0;0,484;3,02;11,15
28/04/2013;2013;14;0,0;0,0;3,08;11,47
29/04/2013;2013;15;0,0;0,596;2,49;9,51
30/04/2013;2013;16;0,0;8,013;1,03;28,9
01/05/2013;2013;17;0,0;0,101;2,86;3,87
02/05/2013;2013;18;0,0;0,0;3,58;28,81
03/05/2013;2013;19;0,0;0,0;3,71;27,38
04/05/2013;2013;20;0,0;0,0;4,36;14,46
05/05/2013;2013;21;0,0;0,136;4,26;17,99
06/05/2013;2013;22;0,0;0,047;2,97;27,0
07/05/2013;2013;23;0,0;0,048;2,18;23,74
08/05/2013;2013;24;0,0;0,734;2,6;1,71
09/05/2013;2013;25;0,042;0,54;1,96;14,54
10/05/2013;2013;26;0,0;0,232;3,79;29,56
11/05/2013;2013;27;0,0;0,0;4,44;28,01
12/05/2013;2013;28;0,0;0,346;3,34;7,5
13/05/2013;2013;29;0,0;0,0;4,5;14,8
14/05/2013;2013;30;0,0;0,346;5,23;29,14
15/05/2013;2013;31;0,0;0,589;3,63;12,04
16/05/2013;2013;32;0,0;0,889;2,4;28,25
17/05/2013;2013;33;0,0;0,0;2,48;28,42
18/05/2013;2013;34;0,0;0,0;2,84;9,3
19/05/2013;2013;35;0,0;0,0;3,31;26,59
20/05/2013;2013;36;0,0;0,23;3,41;27,66
21/05/2013;2013;37;0,0;1,049;4,07;8,0
22/05/2013;2013;38;0,0;0,0;4,95;28,95
23/05/2013;2013;39;0,0;0,016;4,79;6,87
24/05/2013;2013;40;0,0;0,226;5,13;29,06
25/05/2013;2013;41;0,0;0,246;5,19;29,57
26/05/2013;2013;42;0,0;0,309;3,81;22,26
27/05/2013;2013;43;0,0;0,0;4,48;29,27
28/05/2013;2013;44;0,0;0,319;4,23;28,66
29/05/2013;2013;45;0,0;0,0;4,39;26,72
30/05/2013;2013;46;0,0;0,0;4,38;28,96
31/05/2013;2013;47;0,0;0,685;4,61;29,3
01/06/2013;2013;48;0,0;0,016;4,79;29,28
02/06/2013;2013;49;0,0;0,0;5,15;23,13
03/06/2013;2013;50;0,0;0,0;4,96;7,07
04/06/2013;2013;51;0,0;0,158;5,08;27,6
05/06/2013;2013;52;0,0;0,0;5,78;13,54
06/06/2013;2013;53;0,0;0,0;4,28;24,61
07/06/2013;2013;54;0,0;0,0;3,41;1,43
08/06/2013;2013;55;0,081;0,21;3,36;12,85
09/06/2013;2013;56;0,0;0,0;4,58;12,1
10/06/2013;2013;57;0,0;0,0;4,32;22,03
11/06/2013;2013;58;0,0;0,028;4,5;8,77
12/06/2013;2013;59;0,0;0,0;6,04;1,29
