#{"t_start": 1776869739.7235544, "env_id": "None"}
r,l,t
292.496907,178,469.260639
291.658922,190,471.067432
308.381745,181,472.77064
271.695992,190,474.565564
299.167235,178,476.258084
273.953981,157,477.758251
306.346693,168,479.363894
297.747009,187,481.138463
304.788805,190,482.93839
292.039024,179,484.639648
289.372699,166,486.230257
309.326139,190,488.212219
303.404707,190,490.30324
305.098725,179,492.306467
275.563512,161,493.856463
280.403261,157,495.394289
299.512021,166,497.212279
295.131365,182,499.110509
287.337167,190,503.957161
294.308791,190,505.882586
304.590771,187,507.704801
299.467602,179,509.418464
271.51878,190,511.288483
298.749592,182,513.102401
288.364021,185,514.890917
292.335992,190,516.714009
307.697477,178,518.428337
302.363465,190,520.277336
301.05527,179,522.047665
309.433498,178,523.7521
292.269304,166,525.373823
305.839534,185,527.196659
301.029075,190,529.025861
276.012339,157,530.623766
287.288687,190,532.76084
304.39399,179,534.636668
291.950295,178,536.347383
285.096229,190,538.159979
294.686215,190,539.978228
268.170931,190,541.794766
284.095295,190,543.612948
296.480714,166,545.230528
277.980083,190,547.109794
288.720498,176,548.803153
303.568586,190,550.656679
308.069182,179,552.413416
281.54409,190,554.227506
298.357158,178,555.971684
289.497969,190,557.831409
307.530839,181,559.562458
283.600849,190,561.438926
281.222773,157,562.986925
282.744022,157,564.505458
290.589195,174,566.20995
281.360874,190,568.07812
292.887607,190,569.894012
275.256769,157,571.423263
296.590999,176,573.110691
299.211854,187,574.893154
283.986701,190,576.723561
299.74394,178,578.445096
294.008898,190,580.275396
309.336159,179,582.003722
302.09077,178,583.707901
297.104196,168,585.326879
305.529224,179,587.050075
286.406998,190,588.879675
292.184646,190,590.734755
291.378998,190,592.617586
287.99897,190,594.440638
300.22645,190,596.304791
287.513959,190,598.160617
299.50913,178,600.024619
299.509756,176,604.99188
276.638927,161,606.630073
303.113785,178,608.390826
281.417337,190,610.200776
303.241679,168,611.836159
279.233816,161,613.429907
307.199441,190,615.422292
299.782136,190,617.410234
303.8877,185,619.335432
296.439866,176,621.154735
302.122961,185,623.022588
301.293884,166,624.646559
308.31264,168,626.257397
283.587335,190,628.069489
300.308203,168,629.677854
297.63938,187,631.46081
278.763956,190,633.282177
297.752253,190,635.091108
291.676878,179,636.80143
312.636946,179,638.513242
308.892472,190,640.319349
309.504532,181,642.051182
312.894175,174,643.726295
295.077594,154,645.209976
301.141687,154,646.698354
307.98563,174,648.371556
297.793191,166,649.969201
306.288859,179,651.681886
306.412564,178,653.389731
308.002842,179,655.111749
300.568351,190,656.93402
291.629189,190,658.759732
300.947331,179,660.483048
272.679416,190,662.308409
292.887647,176,664.009555
305.929946,185,665.937855
274.865194,190,667.916248
289.785976,161,669.482911
299.418318,166,671.243337
307.715272,174,672.929569
295.721117,161,674.49785
302.192977,190,676.307751
308.274601,157,677.824177
298.248312,190,679.662348
287.14811,182,681.410719
308.480203,174,683.085991
303.317033,185,684.862069
302.434054,185,686.640644
301.101475,187,688.435203
299.651889,179,690.166293
299.139479,190,692.146702
307.491104,154,693.646233
272.265079,190,695.475235
306.228419,185,697.251937
300.526788,168,698.883181
278.739581,190,700.705188
310.086818,168,705.352993
294.93003,190,707.168422
308.959687,181,709.067009
300.143892,187,711.010722
301.478598,190,712.821552
303.360773,187,714.76592
311.034171,181,716.499593
306.527503,182,718.240546
265.694132,190,720.11694
303.772956,154,721.609134
309.66119,190,723.434194
307.916422,179,725.161418
277.008274,190,726.997013
297.567978,190,728.841741
298.686061,190,730.674962
302.016866,182,732.419473
305.55362,154,733.921032
307.25196,178,735.63905
301.845064,157,737.163755
305.625755,190,738.986653
316.852543,179,740.712565
308.121487,168,742.341885
305.567543,187,744.294662
305.516112,190,746.271264
307.954924,181,748.16855
301.74491,176,750.023867
298.571789,154,751.675817
296.968454,182,753.57829
310.216079,185,755.51017
294.658362,161,757.221202
282.178296,190,759.201998
297.067483,182,761.106701
302.131514,176,762.798317
300.213938,157,764.313737
306.110124,154,765.803202
297.857323,161,767.355167
297.135519,190,769.17581
296.734295,190,770.992948
303.159495,166,772.624866
283.132138,190,774.603591
309.267162,168,776.222131
303.923919,190,778.199404
273.505023,190,780.179888
312.198379,178,782.049416
304.8745,176,783.903209
282.782946,190,785.879883
309.013593,190,787.856543
317.044846,174,789.69144
303.005629,187,791.640236
300.988784,154,793.286547
304.262775,185,795.221599
283.156418,190,797.214177
302.204468,182,799.117245
307.716254,179,800.99333
293.754606,190,802.80925
306.725818,179,804.522139
302.777329,190,809.344308
309.26892,187,811.135372
297.294731,161,812.68729
299.072778,190,814.500708
290.770431,157,816.020056
301.724964,181,817.753368
303.476832,190,819.583455
304.376511,190,821.400571
301.293969,190,823.221434
305.869653,187,825.014215
305.153612,185,826.794611
310.257958,168,828.41358
295.464245,190,830.236874
301.117144,161,831.786034
304.028459,182,833.530907
308.688671,179,835.252277
296.110704,161,836.809384
307.689844,154,838.296436
296.975643,190,840.111507
311.268021,174,841.794785
291.340323,190,843.618264
302.181591,187,845.410844
289.68481,157,846.926493
311.748507,166,848.518825
304.969426,176,850.209782
284.141951,190,852.022983
291.485124,190,853.85005
304.226939,157,855.367359
295.537204,190,857.18848
309.676821,181,858.922439
309.848313,181,860.652638
311.368082,179,862.382612
311.936291,161,863.936273
311.947454,179,865.661884
312.130398,181,867.407778
310.799577,154,868.905478
294.301958,182,870.659923
309.589698,178,872.369982
308.924322,176,874.067834
280.105273,190,875.884148
306.77657,179,877.601669
312.698369,178,879.308038
302.617193,187,881.100121
293.625513,190,882.919964
311.069625,179,884.665482
305.024686,187,886.455484
305.083207,168,888.077272
307.026027,179,889.791645
310.541554,181,891.525533
299.10415,187,893.314197
300.088689,190,895.134852
306.523123,174,896.807914
304.672208,182,898.55777
300.127301,190,900.38174
311.095069,178,902.09852
309.771593,190,903.917409
312.702905,179,908.637996
308.560519,190,910.556799
317.884645,179,912.278982
282.782171,190,914.097662
311.27546,187,915.890806
305.354294,190,917.711508
294.577956,182,919.455111
291.058693,190,921.279972
305.73812,190,923.098339
277.613742,190,924.914735
305.749031,176,926.605385
302.668654,178,928.324507
306.514743,190,930.144798
295.997223,190,932.00465
312.22267,190,933.832362
310.348944,161,935.382723
316.843193,179,937.102392
306.903142,154,938.594031
301.657226,176,940.283672
311.207737,168,941.899272
307.302628,174,943.576776
297.982525,190,945.395343
298.105761,190,947.220254
305.195319,157,948.751462
308.790416,168,950.373458
307.417063,166,951.972898
310.189611,168,953.594528
297.88508,176,955.293033
308.733637,187,957.095712
309.963862,178,958.81181
307.081803,154,960.305559
312.015199,166,962.062715
310.465322,190,963.877069
301.720189,190,965.69814
310.161079,168,967.323091
313.688781,161,968.880205
310.664743,185,970.661081
307.437322,168,972.276738
309.249543,178,973.984913
306.761584,185,975.766257
312.913731,174,977.438293
303.476966,185,979.211884
313.969546,161,980.769304
309.936023,185,982.541647
278.504802,190,984.357477
305.74882,182,986.102005
306.368665,190,987.919579
311.431564,181,989.652616
309.355141,168,991.272396
310.605749,190,993.104145
309.097767,157,994.621876
312.578501,190,996.435452
308.692581,157,997.950124
283.204771,190,999.766577
294.136378,190,1001.592022
310.90399,190,1003.412851
308.98234,168,1008.02246
294.78861,190,1009.845692
303.447114,168,1011.464762
311.182227,190,1013.286254
297.619705,190,1015.10921
309.149098,181,1016.857244
309.555503,157,1018.38579
312.330375,174,1020.059592
293.577537,190,1021.874923
309.436076,190,1023.692969
303.902597,166,1025.296192
306.982978,185,1027.067673
303.451082,190,1028.88819
304.508694,181,1030.628993
304.757199,176,1032.324767
309.296837,179,1034.043599
307.988519,157,1035.565096
310.247762,157,1037.083343
304.498036,157,1038.623625
304.183387,182,1040.373317
313.01261,178,1042.086487
308.720032,190,1043.906006
307.248195,182,1045.652033
311.712718,190,1047.481379
303.4665,185,1049.258989
311.323831,179,1050.986454
315.606775,179,1052.711835
316.516317,179,1054.430762
285.449734,190,1056.244304
309.00885,166,1057.841644
305.185973,187,1059.646355
302.483439,190,1061.473914
310.754929,168,1063.104837
302.188154,176,1064.805233
280.194782,190,1066.637868
307.137683,181,1068.386805
305.286958,190,1070.217911
310.088621,168,1071.844842
311.721447,166,1073.457045
305.426397,190,1075.290966
310.205633,179,1077.026351
309.050513,178,1078.750005
308.689662,190,1080.586555
