Año;Fecha;Riego_Optimo_FAO_mm
2006;06/06/2006;7,750709753834245
2006;07/06/2006;5,870283099100881
2006;08/06/2006;6,19401214561267
2006;09/06/2006;7,004887443290318
2006;10/06/2006;7,124237923296211
2006;11/06/2006;1,8199184422045707
2006;12/06/2006;6,642541313752146
2006;13/06/2006;3,995091808237644
2006;14/06/2006;0,0
2006;15/06/2006;8,762919754950257
2006;16/06/2006;2,1776148376128033
2006;17/06/2006;2,3137945535984095
2006;18/06/2006;8,011678074412135
2006;19/06/2006;8,880038204215587
2006;20/06/2006;8,978072117965867
2006;21/06/2006;7,109013608049061
2006;22/06/2006;9,311036804992883
2006;23/06/2006;5,497644836955728
2006;24/06/2006;9,09979210840709
2006;25/06/2006;1,5033794881134912
2006;26/06/2006;4,299778302498167
2006;27/06/2006;5,150873908790861
2006;28/06/2006;6,599732301001613
2006;29/06/2006;6,489544241320743
2006;30/06/2006;4,531226061795918
2006;01/07/2006;7,159724699395811
2006;02/07/2006;6,8720574215635315
2006;03/07/2006;4,567855334250085
2006;04/07/2006;0,0
2006;05/07/2006;0,0
2006;06/07/2006;5,55414658322867
2006;07/07/2006;5,376548820895063
2006;08/07/2006;5,559850126537396
2006;09/07/2006;6,966436765912696
2006;10/07/2006;5,959510829911488
2006;11/07/2006;7,219507653585648
2006;12/07/2006;3,9358639247714535
2006;13/07/2006;7,964509798655423
2006;14/07/2006;3,6678181367199287
2006;15/07/2006;5,463399364599643
2006;16/07/2006;4,696839666135949
2006;17/07/2006;6,810366664147463
2006;18/07/2006;6,080403389389471
2006;19/07/2006;0,0
2006;20/07/2006;5,108969024302351
2006;21/07/2006;7,639986392478609
2006;22/07/2006;6,1080958700934325
2006;23/07/2006;5,5955127338349495
2006;24/07/2006;5,3099924678026404
2006;25/07/2006;6,503558467063755
2006;26/07/2006;6,452596464059645
2006;27/07/2006;0,0
2006;28/07/2006;0,0
2006;29/07/2006;6,846126674219196
2006;30/07/2006;6,557949950738924
2006;31/07/2006;4,510708297199655
2006;01/08/2006;7,072195295713357
2006;02/08/2006;5,334147546518078
2006;03/08/2006;5,8161904733582075
2006;04/08/2006;3,039213995555425
2006;05/08/2006;3,8646630272992355
2006;06/08/2006;5,409773979312878
2006;07/08/2006;4,766344459385081
2006;08/08/2006;4,295520762217996
2006;09/08/2006;3,9800345919742997
2006;10/08/2006;4,878237465727737
2006;11/08/2006;4,4967632552676795
2006;12/08/2006;4,049864033045476
2006;13/08/2006;3,907163372660514
2006;14/08/2006;0,0
2006;15/08/2006;4,363577926846865
2006;16/08/2006;0,0
2006;17/08/2006;0,0
2006;18/08/2006;0,0
2006;19/08/2006;0,0
2006;20/08/2006;0,0
2006;21/08/2006;3,562910156586657
2006;22/08/2006;4,3763481223403495
2006;23/08/2006;3,8130100874051496
2006;24/08/2006;3,805353781687433
2006;25/08/2006;1,7408277163072143
2006;26/08/2006;3,0507930512564374
2006;27/08/2006;2,6153600248400988
2006;28/08/2006;2,6064549436171176
2006;29/08/2006;2,848598200679178
2006;30/08/2006;1,9387544993104258
2006;31/08/2006;1,8764839611524846
2006;01/09/2006;2,195959080023755
2006;02/09/2006;0,0
2007;15/04/2007;25,0
2007;16/04/2007;25,0
2007;17/04/2007;25,0
2007;18/04/2007;25,0
2007;19/04/2007;14,416999999999998
2007;20/04/2007;5,591999999999992
2007;21/04/2007;4,30899999999999
2007;22/04/2007;5,277999999999995
2007;23/04/2007;5,412263372815155
2007;24/04/2007;5,1953563359956165
2007;25/04/2007;0,0
2007;26/04/2007;0,0
2007;27/04/2007;0,0
2007;28/04/2007;0,0
2007;29/04/2007;0,0
2007;30/04/2007;0,0
2007;01/05/2007;0,0
2007;02/05/2007;1,7656875267858694
2007;03/05/2007;1,5563012717098077
2007;04/05/2007;5,142428126367607
2007;05/05/2007;3,826982949522465
2007;06/05/2007;4,239896327318034
2007;07/05/2007;6,073967743632531
2007;08/05/2007;4,624802595513744
2007;09/05/2007;7,276077155718323
2007;10/05/2007;5,0524806494175385
2007;11/05/2007;6,965697917467483
2007;12/05/2007;3,645161353850588
2007;13/05/2007;5,226830045215913
2007;14/05/2007;0,6904355079217257
2007;15/05/2007;4,99367792333075
2007;16/05/2007;4,0122048605692395
2007;17/05/2007;7,026244151131269
2007;18/05/2007;0,5465385007928738
2007;19/05/2007;0,632155383721998
2007;20/05/2007;0,0
2007;21/05/2007;0,0
2007;22/05/2007;0,0
2007;23/05/2007;0,0
2007;24/05/2007;0,0
2007;25/05/2007;0,0
2007;26/05/2007;0,0
2007;27/05/2007;2,357468721413043
2007;28/05/2007;0,0
2007;29/05/2007;2,9050570753533047
2007;30/05/2007;4,209189137873155
2007;31/05/2007;5,925250152257227
2007;01/06/2007;1,4961899597299786
2007;02/06/2007;3,3398873381128036
2007;03/06/2007;8,422953992379963
2007;04/06/2007;0,0
2007;05/06/2007;3,898324851643024
2007;06/06/2007;0,2873926257020385
2007;07/06/2007;6,4859927936896575
2007;08/06/2007;6,489940031513928
2007;09/06/2007;0,0
2007;10/06/2007;0,0
2007;11/06/2007;2,0152515611289736
2007;12/06/2007;4,843661580875134
2007;13/06/2007;4,924467876063265
2007;14/06/2007;0,0
2007;15/06/2007;0,0
2007;16/06/2007;0,0
2007;17/06/2007;0,0
2007;18/06/2007;0,0
2007;19/06/2007;0,0
2007;20/06/2007;0,0
2007;21/06/2007;0,0
2007;22/06/2007;0,0
2007;23/06/2007;3,7701376113693543
2007;24/06/2007;4,353781133641618
2007;25/06/2007;6,080924561717069
2007;26/06/2007;0,0
2007;27/06/2007;1,434760251629537
2007;28/06/2007;3,47174170914806
2007;29/06/2007;7,852089755286975
2007;30/06/2007;4,944586034015422
2007;01/07/2007;7,073828193620538
2007;02/07/2007;0,04981994477493412
2007;03/07/2007;9,508634273734891
2007;04/07/2007;1,6878474167667288
2007;05/07/2007;5,592297138236342
2007;06/07/2007;4,392538881722033
2007;07/07/2007;7,2784440895303515
2007;08/07/2007;6,846627692637907
2007;09/07/2007;0,5370284965933192
2007;10/07/2007;2,2534169720073116
2007;11/07/2007;5,287892399501609
2007;12/07/2007;5,725707957469503
2007;13/07/2007;5,381033981303458
2007;14/07/2007;8,237697245286224
2007;15/07/2007;3,609797402512233
2007;16/07/2007;2,4512705316189685
2007;17/07/2007;0,0
2007;18/07/2007;4,335469308212797
2007;19/07/2007;3,821993333501142
2007;20/07/2007;0,36212741653154357
2007;21/07/2007;1,74301291873392
2007;22/07/2007;3,2151169033820013
2007;23/07/2007;0,4013085911797274
2007;24/07/2007;4,844563590445318
2007;25/07/2007;4,619252978430952
2007;26/07/2007;5,872867892643603
2007;27/07/2007;5,2685987342459395
2007;28/07/2007;5,440034875658812
2007;29/07/2007;5,191738069682843
2007;30/07/2007;4,9635561851938155
2007;31/07/2007;5,379347876107771
2007;01/08/2007;6,417608297061313
2007;02/08/2007;0,0
2007;03/08/2007;7,54869747853077
2007;04/08/2007;4,518132236665109
2007;05/08/2007;6,769513771907975
2007;06/08/2007;1,968660912747668
2007;07/08/2007;3,847824859657391
2007;08/08/2007;0,7256548493381803
2007;09/08/2007;1,4259085580703634
2007;10/08/2007;3,7264407362929908
2007;11/08/2007;0,0
2007;12/08/2007;0,2665081399055209
2007;13/08/2007;5,717684037304343
2007;14/08/2007;1,8284687435922171
2007;15/08/2007;4,156575545123062
2007;16/08/2007;0,8359270950946085
2007;17/08/2007;0,7973981523531753
2007;18/08/2007;0,8739607216485177
