Fecha;Riego_Decidido_mm;Lluvia_mm;Evaporacion_Suelo_mm;Transpiracion_Planta_mm;Estrés_Hídrico_pct
27/06/2005;6,477824613827339;0,0;0,04845127088130827;6,190207974630733;0,0
28/06/2005;6,6186592455120365;0,0;0,04001909922618989;4,223463953104076;0,0
29/06/2005;1,6641882234131202;0,0;0,03491434518189724;2,8626641334624567;0,0
30/06/2005;3,317578478644356;0,0;0,04014346508841027;4,815293179447766;0,0
01/07/2005;6,97543664453618;0,0;0,036719352713420576;4,910439057518573;0,0
02/07/2005;5,0871584102319805;0,0;0,03822099807818894;5,9964743418091375;0,0
03/07/2005;7,154695339887331;0,0;0,047932672681629505;7,671677934052354;0,0
04/07/2005;9,39961060673399;0,0;0,039566471281817533;5,597727368675357;0,0
05/07/2005;2,6780966501130425;0,0;0,03749064687434539;5,660406406515788;0,0
06/07/2005;7,667897053390132;0,0;0,03692451294503481;5,679449284970504;0,0
07/07/2005;5,866373797915545;0,0;0,03843420342319637;5,523916471833709;0,0
08/07/2005;5,442383221614579;0,0;0,03503739984733286;4,22972957923447;0,0
09/07/2005;2,6452063549103406;0,0;0,034848688537562664;4,69089616088789;0,0
10/07/2005;6,295744849425474;0,0;0,036421282785647616;4,808334719851055;0,0
11/07/2005;5,084756002636698;0,0;0,03767935818411559;5,423207101369653;0,0
12/07/2005;6,110886459553774;0,0;0,03900033735250695;5,918788938308729;-2,220446049250313e-14
13/07/2005;6,457789275661234;0,0;0,03761645441419219;5,850016080546727;-2,220446049250313e-14
14/07/2005;5,807654232532674;0,0;0,042585852238140647;6,603537387531099;0,0
15/07/2005;7,4661232397692325;0,0;0,0406987391404387;6,292462514969196;0,0
16/07/2005;5,913275166361485;0,0;0,040321316520898313;6,052049006754613;0,0
17/07/2005;6,142370323275508;0,0;0,03233253774062673;4,586612995488163;0,0
18/07/2005;2,7194608505585487;0,0;0,036358379015724224;5,116238369092613;-2,220446049250313e-14
19/07/2005;6,99259674810834;0,0;0,033968035758635086;4,756865270270531;0,0
20/07/2005;4,490914671923365;0,0;0,03780516572396238;5,759387404592502;0,0
21/07/2005;7,007192570316458;0,0;0,03761645441419219;5,713584425757535;0,0
22/07/2005;5,751200880171727;0,0;0,03660999409541781;5,54411493796818;0,0
23/07/2005;5,340790024778924;0,0;0,03887452981266015;5,728437947800484;0,0
24/07/2005;6,1173124776131385;0,0;0,03598095639618383;5,2676027343878;0,0
25/07/2005;4,703746422572345;0,0;0,03006800202338439;4,304379754977844;0,0
26/07/2005;3,5546593083261144;0,0;0,02365181749119776;3,225487098083436;0,0
27/07/2005;0,0;3,4;0,023777625031044556;3,227248657782578;0,0
28/07/2005;0,0;10,2;0,028369600235452635;3,6311214641507434;-2,220446049250313e-14
29/07/2005;0,0;0,0;0,030508328412848174;2,616154749421005;0,0
30/07/2005;4,426663077833826;0,0;0,030382520873001383;2,5004126969934446;-2,220446049250313e-14
31/07/2005;4,490795217866426;0,0;0,03057123218277158;3,139033566877778;0,0
01/08/2005;6,999604799060562;0,0;0,03151478873162255;3,0051372867231128;0,0
02/08/2005;6,216652075454743;0,0;0,030193809563231186;2,557514995240493;0,0
03/08/2005;4,087708804803724;0,0;0,03182930758123954;3,9886145713918677;0,0
04/08/2005;7,1804438789731035;0,0;0,032458345280473526;4,35999666892276;0,0
05/08/2005;4,9524550142032355;0,0;0,03503739984733286;4,806197207239464;-2,220446049250313e-14
06/08/2005;5,4212346070868085;0,0;0,034156747068405276;4,742711030169111;0,0
07/08/2005;4,7968677772375266;0,0;0,03270996036016712;4,716232312461309;0,0
08/08/2005;4,758942272821467;0,0;0,03233253774062673;4,647155829557983;0,0
09/08/2005;4,659552738778562;0,0;0,04716639298116038;3,8693400259456396;0,0
10/08/2005;1,9602399647638418;0,8;0,04970627868170413;2,516854395985;0,0
11/08/2005;1,729264276824571;0,0;0,10611389361162658;4,2256783316201725;0,0
12/08/2005;6,7117922252318225;0,0;0,13026686054743442;3,992627900421831;0,0
13/08/2005;3,9235384757687557;0,0;0,1710333097172651;4,271387451402106;0,0
14/08/2005;4,912420761119369;0,0;0,2103930434429162;4,326168492912319;0,0
15/08/2005;4,646561536355248;0,0;0,23410650072057845;3,9157573658503573;0,0
16/08/2005;3,6315375250496014;0,0;0,282424244933175;3,767634213621628;0,0
17/08/2005;4,300058458554803;0,0;0,2713310259022802;2,8751008257085804;-2,220446049250313e-14
18/08/2005;1,9502941404077778;0,0;0,3819862524893075;3,4521318351799803;0,0
19/08/2005;5,344118087669307;0,0;0,4285322276497315;2,006101804874842;0,0
20/08/2005;0,6005562086798673;0,0;0,4530001150114181;1,0096646426039224;0,0
21/08/2005;1,8626647576153461;0,0;0,46463792951851624;0,8893306636321302;0,0
22/08/2005;1,4039685931506578;0,0;0,5417238836222957;1,4721684438356106;0,0
23/08/2005;2,7138923274579234;0,0;0,6107846553035581;1,728110483595674;0,0
24/08/2005;2,6788951388992355;0,0;0,7415063048951271;2,0264168211629254;0,0
25/08/2005;3,1979231260580594;0,0;0,9151353818532926;2,2783285472159833;0,0
26/08/2005;3,613463929069292;0,0;0,8509529091199391;1,6927667258057724;0,0
27/08/2005;1,446616351523351;0,2;0,9986511549053165;1,583715029319688;0,0
28/08/2005;3,242366184225001;0,0;0,8412279392340759;0,9852650346002494;0,0
29/08/2005;0,8297115478317518;0,0;1,1556245480758822;0,9246449011652301;0,0
30/08/2005;3,0321735756753454;0,0;1,5132131598456409;0,7243148559398196;0,0
31/08/2005;2,457528015785459;0,0;1,6687437812259702;0,38063833068307784;0,0
01/09/2005;0,0;0,0;0,0;0,0;0,0
23/04/2006;25,0;0,0;4,29;0,0;0,0
24/04/2006;25,0;0,0;4,51;0,0;0,0
25/04/2006;25,0;0,0;4,5760000000000005;0,0;0,0
26/04/2006;25,0;0,0;4,8180000000000005;0,0;0,0
27/04/2006;16,01799999999999;0,0;4,785;0,0;0,0
28/04/2006;4,704999999999981;0,0;4,51;0,0;0,0
29/04/2006;4,049999999999988;0,0;4,123559679071486;0,0;0,0
30/04/2006;3,824999999999994;0,0;3,883257270078202;0,0005305649863358396;0,0
01/05/2006;3,6837878350645537;0,0;4,506829657398747;0,007674713157672241;0,0
02/05/2006;5,340440690002709;0,0;5,2080168488172065;0,01686743563322148;0,0
03/05/2006;4,704884284450435;1,2;4,969407005008502;0,04582124105828562;0,0
