Fecha;ETo(P.MON.);Precipit. efectiva(P.MON.);Horas insolacion;Veloc. viento diurna (*);Veloc. viento nocturna (*);Recorrido viento;Radiacion neta;Temp. media diurna;Hum. media diurna
dd/mm/aaaa;mm;mm;HH:mm;m/s;m/s;km/dia;MJ/m^2;ºC;%
01/01/2005;0.26;0.00;3.98;0.86;1.01;80.87;1.81;-0.38;100.00;
02/01/2005;0.25;0.00;5.29;1.00;1.09;90.55;1.71;0.95;100.00;
03/01/2005;0.29;0.00;7.00;0.76;1.00;76.12;0.88;1.61;94.29;
04/01/2005;0.31;0.00;7.80;0.73;1.09;78.8;0.95;2.07;87.75;
05/01/2005;0.28;0.00;3.83;0.75;0.62;59.1;1.87;-0.88;99.80;
06/01/2005;0.33;0.00;8.01;0.69;0.85;66.44;0.92;1.56;94.44;
07/01/2005;0.29;0.00;5.10;0.62;0.74;58.75;1.81;0.27;98.69;
08/01/2005;0.26;0.00;3.68;0.99;0.91;81.99;1.95;-2.29;100.00;
09/01/2005;0.22;0.00;6.41;0.80;0.63;61.95;1.69;-3.77;99.98;
10/01/2005;0.25;0.00;5.96;0.60;0.57;50.2;1.88;-3.89;99.99;
11/01/2005;0.29;0.00;4.40;0.57;0.32;38.36;1.93;-1.71;100.00;
12/01/2005;0.33;0.52;2.02;0.50;0.69;51.49;1.99;2.19;100.00;
13/01/2005;0.37;3.10;1.63;0.98;0.43;60.83;2.04;4.51;100.00;
14/01/2005;0.37;0.00;0.00;1.27;0.93;95.21;2.05;5.59;100.00;
15/01/2005;0.44;0.00;6.40;1.33;1.00;100.57;1.90;5.05;95.57;
16/01/2005;0.49;0.00;8.22;0.71;0.80;65.23;1.44;4.83;80.60;
17/01/2005;0.47;0.00;8.07;1.13;0.58;73.7;1.47;3.63;85.37;
18/01/2005;0.95;0.00;8.19;6.16;2.13;358.04;1.56;6.30;74.23;
19/01/2005;1.19;0.00;8.33;5.99;2.91;384.39;1.51;7.11;74.79;
20/01/2005;0.98;0.00;8.54;1.13;1.42;110.51;1.25;8.32;63.45;
21/01/2005;0.46;0.00;8.61;1.03;0.82;79.75;1.77;2.42;83.28;
22/01/2005;0.33;0.00;3.82;0.79;0.74;66.1;2.16;-0.27;99.79;
23/01/2005;0.51;0.00;8.48;1.00;0.91;82.34;1.98;2.87;90.99;
24/01/2005;0.93;0.00;8.56;2.36;1.89;183.51;1.69;1.98;69.81;
25/01/2005;1.14;0.00;8.66;4.79;3.08;340.07;1.84;0.88;66.74;
26/01/2005;1.44;0.00;9.06;6.87;3.19;434.85;1.72;0.09;53.01;
27/01/2005;1.14;0.00;8.17;4.51;2.88;319.25;2.00;-0.80;62.40;
28/01/2005;1.11;0.00;7.94;3.19;1.60;206.58;2.07;3.03;62.09;
29/01/2005;1.39;0.00;8.91;4.15;2.31;278.99;2.08;4.10;66.26;
30/01/2005;1.34;0.00;8.96;2.19;2.05;183.08;1.94;3.89;58.00;
31/01/2005;1.25;0.00;9.09;2.06;1.32;146.02;2.06;4.36;56.66;
01/02/2005;0.86;0.00;8.93;0.85;0.78;70.68;2.40;5.99;62.91;
02/02/2005;1.22;0.00;9.11;1.84;0.94;120.1;2.38;7.13;64.22;
03/02/2005;0.95;0.00;8.18;1.62;1.10;117.42;2.64;3.04;70.77;
04/02/2005;0.83;0.00;9.00;1.39;0.97;102.12;2.75;2.30;67.41;
05/02/2005;0.74;0.00;6.58;0.97;0.80;76.55;2.68;1.95;70.69;
06/02/2005;0.58;0.17;6.95;1.14;0.84;85.54;2.74;0.67;87.27;
07/02/2005;0.53;1.68;5.28;2.19;1.36;153.27;2.53;1.44;91.56;
08/02/2005;1.01;0.00;7.93;2.05;1.52;154.4;3.08;4.75;73.27;
09/02/2005;1.17;0.00;9.28;1.28;1.50;120.27;3.25;5.75;62.24;
10/02/2005;1.27;0.00;9.31;0.95;1.39;100.92;3.18;6.42;57.85;
11/02/2005;1.46;0.00;8.73;1.08;1.55;113.62;3.14;8.14;50.75;
12/02/2005;1.97;0.00;9.01;3.21;2.43;243.56;3.08;8.81;56.56;
13/02/2005;2.26;0.00;9.50;5.48;4.05;411.87;3.77;8.61;63.55;
14/02/2005;1.87;0.00;9.57;4.48;2.18;287.71;3.65;4.81;53.36;
15/02/2005;1.65;0.00;9.63;4.68;2.24;299.03;3.95;5.07;55.41;
16/02/2005;1.68;0.00;9.76;4.85;2.34;310.61;4.10;2.73;53.85;
17/02/2005;1.59;0.00;9.80;4.67;1.61;271.47;4.20;3.31;56.14;
18/02/2005;1.24;0.00;9.73;1.51;1.02;109.3;4.26;3.37;56.46;
19/02/2005;2.00;0.00;9.91;5.22;2.17;318.99;4.53;6.37;54.43;
20/02/2005;1.59;0.00;9.65;4.37;2.36;290.56;3.81;4.96;60.58;
21/02/2005;1.45;0.00;9.66;3.56;1.51;218.85;4.36;1.03;50.72;
22/02/2005;1.49;0.00;9.31;4.27;2.47;291.17;4.08;3.70;65.35;
23/02/2005;0.86;0.00;8.79;1.40;0.57;84.84;4.11;0.60;66.35;
24/02/2005;1.34;0.00;8.84;1.74;1.14;124.68;4.99;1.67;54.35;
25/02/2005;1.52;0.00;9.92;3.92;1.81;247.36;5.13;1.18;57.28;
26/02/2005;1.67;0.00;10.20;5.35;2.63;344.65;5.47;1.71;57.39;
27/02/2005;1.62;0.00;10.20;3.73;1.61;230.6;5.11;2.29;53.33;
28/02/2005;1.81;0.00;10.30;5.64;1.88;324.95;5.79;-0.67;37.37;
01/03/2005;1.52;0.00;10.32;2.00;1.09;133.4;5.80;-0.62;37.88;
02/03/2005;2.12;0.00;10.27;3.32;2.21;238.81;5.71;1.91;44.06;
03/03/2005;1.80;0.00;9.73;4.34;1.58;255.57;6.08;2.41;56.70;
04/03/2005;1.84;0.00;10.56;5.59;1.99;327.46;6.34;1.10;50.58;
05/03/2005;2.47;0.00;10.35;5.92;3.74;417.05;6.17;6.20;58.10;
06/03/2005;2.08;0.00;10.64;4.72;2.94;331.08;6.58;3.75;54.92;
07/03/2005;1.92;0.00;10.63;2.32;1.44;162.52;6.72;3.87;39.87;
08/03/2005;1.67;0.00;10.58;1.17;1.00;93.48;6.94;2.97;48.47;
09/03/2005;2.04;0.00;10.72;0.93;1.25;94.26;6.20;6.88;36.19;
10/03/2005;2.30;0.00;10.81;1.29;1.21;108.;6.56;8.35;34.09;
11/03/2005;2.23;0.00;10.84;1.39;1.15;109.73;6.91;6.90;37.70;
12/03/2005;2.44;0.00;10.46;1.26;1.33;111.89;6.91;9.57;31.96;
13/03/2005;2.52;0.00;10.00;1.67;1.28;127.35;6.74;11.70;39.94;
14/03/2005;2.03;0.00;9.44;1.26;1.08;100.92;6.83;11.32;58.89;
15/03/2005;2.79;0.00;10.86;2.11;1.25;144.81;7.81;13.53;51.83;
16/03/2005;2.90;0.00;10.02;2.17;1.37;153.01;7.21;14.38;48.10;
17/03/2005;2.82;0.00;10.51;1.99;1.78;162.78;6.36;14.69;46.84;
18/03/2005;3.45;0.00;10.83;2.33;1.67;173.06;7.86;16.46;36.51;
19/03/2005;2.92;0.00;10.55;1.78;1.88;158.11;6.50;14.89;36.84;
20/03/2005;2.54;0.00;9.01;2.84;1.49;186.62;6.23;14.24;58.66;
21/03/2005;1.28;1.03;4.20;5.04;3.67;376.36;3.32;12.24;85.18;
22/03/2005;2.86;0.00;11.21;3.87;2.69;283.39;8.24;11.11;57.86;
23/03/2005;1.64;0.00;11.15;3.94;1.99;256.09;5.66;9.74;78.89;
24/03/2005;2.23;0.00;10.80;3.01;1.63;200.71;7.24;11.37;65.47;
25/03/2005;1.40;4.02;8.83;3.54;2.46;259.2;5.00;8.92;81.63;
26/03/2005;2.29;5.20;9.44;5.37;2.65;346.55;8.24;9.51;76.39;
27/03/2005;2.22;0.00;10.01;3.49;1.65;221.96;7.84;8.86;69.32;
28/03/2005;1.67;0.00;8.89;3.86;1.88;247.97;5.83;9.86;80.44;
29/03/2005;2.38;0.00;10.79;5.24;1.41;287.11;7.72;11.16;67.73;
30/03/2005;2.74;0.00;9.95;4.65;2.05;289.27;8.29;12.73;66.66;
31/03/2005;2.92;0.00;11.24;1.64;1.21;122.95;9.46;14.15;59.17;
01/04/2005;2.60;14.70;8.14;2.28;1.99;184.29;6.45;13.97;62.43;
02/04/2005;2.15;5.20;9.12;2.62;1.90;195.35;6.95;10.52;77.49;
03/04/2005;1.36;2.17;8.50;2.52;1.74;183.95;5.08;9.58;86.90;
04/04/2005;2.24;1.36;9.20;2.02;1.31;143.94;7.78;11.80;76.36;
05/04/2005;2.53;0.00;11.24;1.57;0.88;105.67;9.53;12.89;70.44;
06/04/2005;2.70;0.00;11.52;2.64;1.16;164.25;8.72;14.74;65.78;
07/04/2005;2.09;1.03;9.56;1.92;1.29;138.93;6.72;12.85;73.00;
08/04/2005;2.82;0.00;11.86;6.18;2.49;374.8;12.12;6.67;56.27;
09/04/2005;2.55;0.00;12.11;6.52;2.06;370.92;11.06;5.30;54.53;
10/04/2005;3.23;0.00;12.16;3.27;1.68;213.93;11.98;8.31;45.90;
11/04/2005;3.57;0.00;12.23;2.71;1.56;184.9;12.00;11.84;46.90;
12/04/2005;3.24;0.00;11.93;2.01;1.17;137.55;12.23;12.30;52.84;
13/04/2005;3.34;0.86;10.99;2.21;1.03;140.14;12.05;12.48;57.92;
14/04/2005;2.14;0.00;10.45;5.93;2.62;369.1;7.20;8.54;69.52;
15/04/2005;2.39;0.00;12.40;6.84;3.26;436.58;11.86;6.01;67.86;
16/04/2005;2.87;0.00;12.31;5.85;3.63;409.36;11.03;7.83;57.66;
17/04/2005;2.18;0.00;9.34;4.72;3.24;344.04;7.27;11.40;72.03;
18/04/2005;3.00;0.00;12.31;6.34;3.68;433.04;11.92;8.60;60.97;
19/04/2005;2.42;0.00;10.98;5.90;3.16;391.48;9.21;8.40;71.13;
20/04/2005;2.08;0.00;9.68;5.43;3.45;383.7;6.56;9.30;72.72;
21/04/2005;2.44;0.00;11.35;5.00;3.22;355.36;8.19;12.55;74.57;
22/04/2005;2.66;3.27;11.60;2.89;1.82;203.21;8.74;13.30;68.04;
23/04/2005;2.18;0.00;10.62;5.10;1.26;274.41;8.75;9.65;75.39;
24/04/2005;2.61;0.00;11.83;4.79;2.39;310.09;9.95;9.17;68.70;
25/04/2005;3.93;0.00;12.29;3.91;2.24;265.59;13.48;12.66;53.70;
26/04/2005;3.70;0.00;12.66;2.96;1.54;194.4;12.64;14.14;57.25;
27/04/2005;4.30;0.00;12.77;1.90;1.34;140.23;13.79;16.25;46.31;
28/04/2005;4.96;0.00;12.06;2.90;1.25;179.11;12.63;19.47;35.20;
29/04/2005;5.06;0.00;12.65;1.73;1.54;141.26;13.65;21.87;30.63;
30/04/2005;4.90;0.00;12.86;3.50;1.52;216.86;12.83;20.31;41.33;
01/05/2005;4.16;0.00;12.28;3.84;2.10;256.69;11.42;17.53;53.31;
02/05/2005;4.56;0.00;11.64;5.15;2.96;350.44;12.98;15.01;50.15;
03/05/2005;3.25;0.00;12.54;1.79;1.48;141.;11.46;14.05;55.92;
04/05/2005;4.00;0.00;12.90;2.82;2.27;219.63;13.21;14.75;52.44;
05/05/2005;4.42;0.00;13.17;2.18;1.36;152.58;14.93;14.69;42.07;
06/05/2005;4.64;0.00;13.17;1.59;1.43;130.29;15.01;17.01;36.55;
07/05/2005;4.92;0.00;12.34;1.34;1.42;119.32;14.48;19.58;31.13;
08/05/2005;5.25;0.00;12.90;1.84;1.75;155.;14.58;21.10;31.51;
09/05/2005;5.00;0.00;12.12;3.80;2.54;273.72;13.11;17.57;51.98;
10/05/2005;2.60;0.34;12.91;3.12;1.13;183.6;9.09;12.82;69.85;
11/05/2005;1.78;5.19;11.32;2.05;0.97;130.55;6.80;11.70;81.06;
12/05/2005;2.84;1.36;11.39;1.74;1.00;118.02;10.90;13.22;74.19;
13/05/2005;2.58;0.00;12.54;3.42;1.51;213.32;10.01;11.04;76.34;
14/05/2005;3.78;0.00;12.98;4.06;2.40;279.07;14.32;12.15;61.01;
15/05/2005;3.79;0.00;11.41;5.24;2.49;334.37;12.29;11.94;55.80;
16/05/2005;1.82;3.42;12.15;2.88;2.09;214.88;7.48;8.07;80.74;
17/05/2005;3.97;0.00;13.29;3.71;2.07;249.7;14.64;12.29;53.17;
18/05/2005;4.54;0.00;13.42;2.09;1.35;148.52;15.48;15.46;51.94;
19/05/2005;5.26;0.00;13.13;2.85;1.19;174.36;15.18;19.83;41.70;
20/05/2005;5.44;0.00;13.24;3.09;2.15;226.11;14.51;19.93;41.35;
21/05/2005;3.50;0.00;13.06;2.86;2.12;214.96;10.77;14.96;57.89;
22/05/2005;4.65;0.00;13.52;5.16;2.95;350.27;16.54;12.81;49.15;
23/05/2005;4.61;0.00;13.61;1.72;1.28;129.43;16.42;14.91;43.51;
24/05/2005;5.25;0.00;13.44;1.46;1.21;115.34;15.46;21.04;30.74;
25/05/2005;6.37;0.00;13.79;2.32;1.63;170.99;15.92;24.87;31.93;
26/05/2005;6.43;0.00;13.41;2.62;1.18;164.33;16.16;25.91;32.36;
27/05/2005;6.75;0.00;13.55;4.44;2.13;283.82;16.63;23.99;34.40;
28/05/2005;5.83;0.00;12.02;2.67;2.46;221.96;14.27;22.17;42.63;
29/05/2005;3.33;0.00;11.64;2.61;1.82;191.46;9.09;17.79;67.97;
30/05/2005;5.43;0.00;13.40;2.77;2.17;213.58;17.14;19.52;48.71;
31/05/2005;5.45;0.00;13.83;2.15;1.54;159.58;14.69;20.28;23.25;
01/06/2005;5.81;0.00;13.83;1.82;1.36;137.38;16.73;21.99;26.41;
02/06/2005;5.93;0.00;13.61;1.36;1.73;133.49;16.25;24.26;31.16;
03/06/2005;6.60;0.00;13.61;4.54;2.31;295.92;16.28;22.67;30.25;
04/06/2005;5.66;0.00;13.79;1.20;1.50;116.9;16.52;21.45;35.33;
05/06/2005;5.87;0.00;13.86;1.58;0.99;110.94;17.08;23.01;36.97;
06/06/2005;6.08;0.00;13.83;1.88;1.85;161.22;16.12;23.71;28.71;
07/06/2005;6.22;0.00;13.86;2.87;1.40;184.12;16.96;22.65;33.22;
08/06/2005;6.90;0.00;13.87;2.01;2.06;175.74;16.39;26.23;15.76;
09/06/2005;6.47;0.00;13.78;1.41;1.66;132.8;16.15;25.77;16.32;
10/06/2005;5.22;0.00;13.70;2.24;1.34;154.57;12.46;23.39;23.71;
11/06/2005;6.51;0.00;13.04;2.66;1.59;183.51;15.86;25.08;32.27;
12/06/2005;6.19;0.00;13.31;3.20;1.54;204.85;16.39;22.56;34.86;
13/06/2005;3.98;0.17;12.21;2.69;2.04;204.08;11.49;16.55;59.16;
14/06/2005;5.16;0.00;13.62;3.12;2.23;231.03;14.99;19.21;48.57;
15/06/2005;5.48;0.00;13.77;3.17;1.92;219.97;16.03;21.05;47.15;
16/06/2005;6.02;0.00;13.86;1.35;1.60;127.35;16.77;24.45;39.90;
17/06/2005;6.40;0.00;13.91;1.52;1.29;121.74;17.08;27.78;31.73;
18/06/2005;6.99;0.00;13.87;2.41;1.73;178.59;15.67;29.24;29.91;
19/06/2005;6.44;0.00;12.67;2.21;1.92;178.76;14.05;27.29;34.11;
20/06/2005;5.77;0.00;13.48;1.90;1.16;132.28;15.34;26.01;40.14;
21/06/2005;5.90;0.00;13.83;1.60;1.36;127.96;16.09;26.36;40.92;
22/06/2005;5.69;0.00;13.65;1.43;1.48;125.63;14.13;26.85;40.72;
23/06/2005;5.75;0.00;11.29;3.80;2.17;257.82;13.70;23.46;49.95;
24/06/2005;5.84;0.00;12.38;2.59;1.88;193.36;15.17;24.24;49.11;
25/06/2005;5.48;0.00;11.80;2.67;1.60;184.55;14.48;22.14;52.13;
26/06/2005;5.91;0.00;13.79;1.72;1.21;126.75;16.48;24.53;40.26;
27/06/2005;6.34;0.00;14.05;3.56;1.48;217.81;15.01;24.70;30.20;
28/06/2005;5.47;0.00;13.20;4.78;1.60;275.36;15.88;19.05;47.58;
29/06/2005;4.96;0.00;14.00;4.58;1.99;283.56;16.03;18.11;51.92;
30/06/2005;5.90;0.00;13.77;4.19;2.52;289.7;15.85;20.50;46.12;
01/07/2005;5.56;0.00;13.80;1.69;1.21;125.02;16.66;21.78;38.56;
02/07/2005;5.94;0.00;13.71;1.21;1.23;105.58;16.73;25.97;37.52;
03/07/2005;7.62;0.00;13.79;2.75;2.82;240.54;16.60;27.93;34.95;
04/07/2005;6.29;0.00;13.56;3.16;2.78;256.44;16.55;20.55;37.12;
05/07/2005;5.96;0.00;13.90;2.08;1.61;159.41;16.83;22.20;45.32;
06/07/2005;5.87;0.00;13.85;1.50;1.77;141.09;17.06;23.12;46.51;
07/07/2005;6.11;0.00;13.84;2.32;1.90;182.3;16.58;21.36;36.57;
08/07/2005;5.57;0.00;13.85;1.84;1.31;136.17;16.70;20.70;39.99;
09/07/2005;5.54;0.00;13.77;1.67;1.36;130.72;16.60;21.55;45.19;
10/07/2005;5.79;0.00;13.85;2.54;1.22;162.78;16.63;21.48;36.38;
11/07/2005;5.99;0.00;13.89;1.42;1.62;131.33;16.69;24.07;31.83;
12/07/2005;6.20;0.00;13.63;1.80;1.97;163.12;16.23;25.59;36.84;
13/07/2005;5.98;0.00;13.32;1.54;1.83;145.58;15.73;25.40;40.35;
14/07/2005;6.77;0.00;13.57;2.29;1.31;155.43;16.08;28.61;30.05;
15/07/2005;6.47;0.00;13.59;2.40;1.17;154.05;16.04;26.96;35.80;
16/07/2005;6.41;0.00;13.60;2.53;1.27;164.16;15.93;25.33;32.57;
17/07/2005;5.14;0.00;12.76;2.20;1.59;163.73;14.83;21.53;53.45;
18/07/2005;5.78;0.00;13.32;2.97;2.59;240.11;16.18;20.47;46.65;
19/07/2005;5.40;0.00;13.59;1.60;0.91;108.43;16.27;23.00;48.36;
20/07/2005;6.01;0.00;13.35;1.49;1.33;121.82;15.58;26.81;32.62;
21/07/2005;5.98;0.00;13.35;1.37;1.39;119.15;14.65;27.25;30.27;
22/07/2005;5.82;0.00;13.21;1.63;1.26;124.76;15.44;25.18;39.74;
23/07/2005;6.18;0.00;13.24;2.49;1.78;184.12;15.58;24.09;38.31;
24/07/2005;5.72;0.00;13.47;2.71;2.61;229.82;15.94;22.78;56.36;
25/07/2005;4.78;0.00;13.02;2.38;1.63;172.89;13.48;21.54;55.62;
26/07/2005;3.76;0.00;12.65;1.96;0.45;104.11;11.33;21.85;55.17;
27/07/2005;3.78;0.52;12.98;4.24;1.72;257.73;11.77;18.36;74.61;
28/07/2005;4.51;5.80;11.96;4.01;2.00;259.63;13.14;18.40;67.13;
29/07/2005;4.85;0.00;13.24;4.53;2.22;291.77;15.68;16.65;53.37;
30/07/2005;4.83;0.00;13.37;1.38;1.66;131.16;15.54;18.29;44.77;
31/07/2005;4.86;0.00;12.75;1.65;1.56;138.5;15.00;19.60;46.66;
01/08/2005;5.01;0.00;13.23;3.85;1.33;223.6;15.28;18.83;49.02;
02/08/2005;4.80;0.00;13.26;1.46;1.23;116.21;15.29;19.24;47.11;
03/08/2005;5.06;0.00;13.21;1.45;0.95;103.94;15.00;21.24;48.37;
04/08/2005;5.16;0.00;13.23;1.23;0.71;84.15;14.72;22.80;37.11;
05/08/2005;5.57;0.00;13.19;1.41;1.16;111.02;14.71;25.53;30.86;
06/08/2005;5.43;0.00;12.79;1.37;1.21;111.46;13.88;25.18;30.28;
07/08/2005;5.20;0.00;12.10;1.17;1.13;99.27;13.29;25.85;38.73;
08/08/2005;5.14;0.00;12.39;1.61;1.37;128.74;12.05;25.64;39.09;
09/08/2005;4.51;0.00;11.77;1.44;1.57;129.77;11.28;23.61;48.17;
10/08/2005;3.29;0.00;11.07;2.39;1.52;169.;10.05;18.20;71.59;
11/08/2005;5.23;0.00;12.87;2.30;1.09;146.71;14.10;23.91;37.00;
12/08/2005;5.00;0.00;12.45;1.57;1.01;111.46;13.56;23.17;43.82;
13/08/2005;5.27;0.00;12.53;1.71;1.12;122.08;13.68;24.83;40.39;
14/08/2005;5.32;0.00;12.70;1.68;1.30;128.82;13.65;25.32;38.39;
15/08/2005;4.94;0.00;12.56;1.20;1.18;102.47;13.01;24.22;45.15;
16/08/2005;5.04;0.00;10.49;2.80;1.69;194.14;11.56;24.15;41.59;
17/08/2005;4.14;0.00;11.90;1.32;0.98;99.36;11.86;22.58;47.00;
18/08/2005;5.03;0.00;12.16;1.84;1.16;129.34;12.68;23.13;43.44;
19/08/2005;4.91;0.00;12.61;4.14;1.68;251.6;13.38;19.01;46.59;
20/08/2005;4.55;0.00;12.67;3.84;1.84;245.46;12.77;17.67;46.51;
21/08/2005;4.12;0.00;12.55;1.51;1.18;116.21;13.38;17.82;45.60;
22/08/2005;4.27;0.00;11.81;1.65;0.98;113.44;12.83;19.51;50.41;
23/08/2005;4.31;0.00;12.42;1.53;1.18;116.9;13.20;20.56;52.29;
24/08/2005;4.72;0.00;12.46;1.84;1.23;132.62;12.63;21.44;48.41;
25/08/2005;5.30;0.00;12.33;3.98;2.10;262.74;13.24;23.16;52.25;
26/08/2005;4.53;0.00;12.04;1.51;1.55;132.62;11.54;21.51;55.33;
27/08/2005;4.95;0.00;11.52;4.31;2.44;291.77;12.44;21.86;54.47;
28/08/2005;3.95;0.00;11.70;1.26;1.18;105.67;11.89;22.09;59.77;
29/08/2005;4.61;0.00;12.16;1.48;1.17;114.31;12.41;24.72;49.49;
30/08/2005;5.07;0.00;11.98;1.81;1.04;123.03;11.89;26.41;44.84;
31/08/2005;4.67;0.00;10.85;2.11;1.24;144.81;10.61;22.87;45.16;
01/09/2005;4.05;0.00;11.62;1.16;1.16;100.48;11.57;21.04;51.58;
02/09/2005;4.62;0.00;11.94;1.65;1.40;132.02;11.30;23.77;47.52;
03/09/2005;4.98;0.00;11.99;1.97;1.36;143.77;10.84;24.84;37.56;
04/09/2005;5.16;0.00;11.61;2.26;1.96;182.13;10.75;23.29;32.55;
05/09/2005;4.49;0.00;11.58;5.38;3.18;369.71;11.47;16.78;50.97;
06/09/2005;3.04;0.00;10.88;3.73;2.29;260.15;8.41;15.62;66.67;
07/09/2005;3.08;0.00;10.91;2.04;1.15;137.81;8.83;17.31;55.72;
08/09/2005;3.86;0.00;11.46;1.99;1.34;144.03;10.74;19.55;50.33;
09/09/2005;3.07;0.00;12.24;3.81;1.67;236.48;8.86;17.03;68.65;
10/09/2005;2.81;0.00;11.07;4.69;1.64;273.28;7.86;13.49;65.06;
11/09/2005;3.31;0.00;11.53;4.07;1.62;245.81;9.89;15.73;62.84;
12/09/2005;3.19;0.00;11.70;1.81;1.34;136.34;8.49;18.00;48.01;
13/09/2005;3.32;0.00;11.58;1.35;0.91;97.63;10.23;18.64;54.71;
14/09/2005;3.71;0.00;11.54;1.22;1.09;99.62;9.73;20.70;50.81;
15/09/2005;3.85;0.00;10.98;1.31;1.27;111.72;9.52;22.39;45.10;
16/09/2005;4.36;0.00;10.94;3.30;1.63;212.89;8.80;20.53;44.55;
17/09/2005;3.59;0.00;11.37;5.21;2.00;311.64;8.63;14.34;44.81;
18/09/2005;3.32;0.00;11.24;1.90;1.54;148.52;9.11;15.45;40.88;
19/09/2005;3.00;0.00;11.38;1.28;0.87;92.88;8.84;14.70;47.23;
20/09/2005;3.36;0.00;11.31;1.29;1.23;108.78;8.72;18.08;35.55;
21/09/2005;3.47;0.00;11.13;1.35;1.25;112.32;8.16;19.02;33.82;
22/09/2005;3.82;0.00;11.02;1.77;1.40;136.77;7.88;20.44;33.90;
23/09/2005;3.47;0.00;10.63;1.70;1.23;126.58;7.72;20.11;44.43;
24/09/2005;3.67;0.00;10.59;2.06;1.60;158.03;8.08;20.69;47.65;
25/09/2005;3.47;0.00;11.04;2.96;2.70;244.6;7.55;17.18;53.05;
26/09/2005;2.93;0.00;11.06;1.35;1.07;104.37;7.85;15.34;46.24;
27/09/2005;2.97;0.00;10.97;0.99;1.06;88.65;7.40;18.50;36.97;
28/09/2005;2.88;0.00;10.08;1.15;1.24;103.16;7.54;18.12;51.99;
29/09/2005;2.70;0.00;10.57;1.14;1.01;92.79;7.42;17.59;53.15;
30/09/2005;3.03;0.00;10.84;1.07;1.08;93.05;6.97;19.28;40.84;
01/10/2005;3.57;0.00;10.46;2.64;1.31;170.47;7.17;18.88;45.63;
02/10/2005;2.77;0.00;10.68;2.60;1.06;158.11;7.11;13.82;46.47;
03/10/2005;2.14;0.00;10.93;1.10;0.91;86.92;6.65;12.27;52.60;
04/10/2005;2.33;0.00;10.69;1.08;1.00;89.68;6.79;13.21;52.86;
05/10/2005;2.61;0.00;10.67;1.21;1.05;97.46;6.20;15.43;39.46;
06/10/2005;2.63;0.00;10.55;1.05;1.22;97.8;6.18;16.35;42.35;
07/10/2005;2.65;0.00;10.30;1.34;1.06;103.85;5.95;16.70;44.57;
08/10/2005;2.38;0.00;9.71;0.90;1.00;81.91;5.14;17.06;37.52;
09/10/2005;2.46;0.00;9.83;1.42;1.00;104.46;4.99;19.18;34.29;
10/10/2005;1.45;0.00;8.91;2.46;1.41;167.18;3.88;15.26;81.29;
11/10/2005;1.49;4.02;7.12;2.76;1.91;201.66;3.42;16.03;78.73;
12/10/2005;0.98;3.56;7.10;2.72;1.94;201.05;3.16;12.40;89.76;
13/10/2005;0.87;0.00;2.34;3.19;2.75;268.96;2.57;8.01;85.22;
14/10/2005;1.53;2.17;8.55;1.91;1.84;162.17;3.95;10.77;76.48;
15/10/2005;1.22;0.00;8.42;1.34;0.93;98.24;4.04;9.78;76.98;
16/10/2005;1.85;0.00;9.46;1.83;0.99;122.08;5.10;13.41;64.17;
17/10/2005;0.90;1.69;3.95;1.61;1.17;120.1;2.89;11.34;84.74;
18/10/2005;2.04;0.00;9.29;2.42;1.94;188.18;4.63;12.12;60.67;
19/10/2005;2.00;0.00;9.24;3.29;1.27;197.16;4.36;13.04;65.35;
20/10/2005;0.68;6.04;1.15;2.08;1.88;170.9;2.51;10.74;94.35;
21/10/2005;1.21;0.00;7.32;2.32;1.89;181.87;3.17;11.48;84.11;
22/10/2005;1.87;0.00;8.59;2.48;2.89;231.72;3.58;12.98;74.67;
23/10/2005;1.73;0.00;9.56;1.82;1.21;130.72;4.34;12.87;65.91;
24/10/2005;0.97;0.00;7.67;1.14;0.70;79.49;3.53;9.94;87.25;
25/10/2005;1.20;0.00;8.00;0.85;0.93;77.16;3.58;12.95;76.64;
26/10/2005;2.05;0.00;9.52;2.03;1.41;148.87;3.88;15.15;62.76;
27/10/2005;1.47;11.41;4.30;3.57;1.77;230.77;2.76;12.59;79.37;
28/10/2005;0.86;3.71;4.86;2.40;2.83;225.94;2.67;11.02;91.06;
29/10/2005;1.41;0.00;6.16;4.06;3.39;321.84;2.73;13.16;79.90;
30/10/2005;0.74;14.27;1.01;1.90;2.66;196.99;2.38;11.33;93.22;
31/10/2005;1.08;0.00;7.17;3.01;1.55;197.16;3.14;9.07;83.49;
01/11/2005;0.78;0.00;3.19;3.42;1.97;232.85;2.47;10.38;88.13;
02/11/2005;1.46;0.00;5.66;4.15;3.64;336.7;2.62;12.67;74.89;
03/11/2005;0.72;1.19;1.18;1.83;2.51;187.57;2.40;10.49;89.68;
04/11/2005;1.46;0.00;9.10;3.67;2.11;249.87;2.77;7.48;66.66;
05/11/2005;1.02;0.00;9.17;0.64;1.20;79.66;2.49;7.33;60.08;
06/11/2005;0.97;0.00;9.07;1.03;0.72;75.34;2.50;7.16;67.36;
07/11/2005;0.90;0.00;8.99;0.81;0.67;64.11;2.47;8.68;67.74;
08/11/2005;1.33;4.16;7.43;3.66;1.47;221.53;2.48;7.25;76.86;
09/11/2005;1.69;0.00;8.45;4.46;2.69;308.88;2.21;7.24;61.78;
10/11/2005;1.48;0.00;8.69;3.43;1.88;229.22;2.16;9.42;60.40;
